index,medicament,avis_clean
3436,epitomax,migraineuse depuis plus de 20 ans je suis passee par plusieurs phases mais depuis quelques mois j avais 1 crise par jour certes soulagee par mon relpax mais epuisante physiquement et psychologiquement de plus je voyais bien que je commencais a avoir un comportement de droguee je changeais de pharmacie tentais de gratter des boites hors ordonnance mentais a mon medecin mon pharmacien avec mon medecin traitant qui me connais bien nous avons decide de changer de traitement de fond propanolol puis 15 ans j avais deja teste le nocertone qui ne m a pas du tout reussi je n arrivais pas a sortir de cet etat de fatigue cotonneux avant 14h grosse prise de poids et pas d amelioration de migraine il faut vous dire que je fais de hypothyroidie donc je grossie deja sans rien faire et j ai beaucoup de mal a perdre depuis ce probleme de thyroide j ai pris 15 kg c est difficile de ne plus se reconnaitre cette fois nous sommes partis sur l epitomax pendant 15 jours 1 cachet le soir puis 1 cachet le soir et 1 cachet le matin et alors la quelle revolution 1 migraine en 10 jours seulement de leger maux de tete de vraies vacances quoi 6 kg en 1 mois pas plus fatiguee un peu de fourmis dans les mains et les pieds mais rien de vraiment embetant quelques pertes de memoires un peu essoufflee mais tellement bien sans migraine je revis j ai quand meme double avec une cure de vitamine on ne sait jamais courage a toutes et a tous et bonnes fetes de fin d annees
3437,epitomax,coucou a tous cela vas bientot faire 2 ans que j ai commence mon traitement pour les migraines par l epitomax 50mg matin et 50mg le soir au niveau des effets indesirables 25kg en un an fourmillements dans les doigts et les orteils par moments beaucoup moins maintenant perte de mots de memoire je cherche beaucoup ce que je veux dire parfois et je sens bien que mon cerveau a tendance a etre au ralenti perte de cheveux enorme j ai les cheveux cassants tres fins sans volume et j ai perdu bien la moitie de ma masse chevelue le du medicament je suis passee de 20 25 migraines par mois a plus que 5 8 migraines par mois et leur intensites est moindres egalement alors oui parfois j ai envie d arreter ce traitement car les effets indesirables sont quand memes lourds a 34 ans mais je me dis aussi que je revis depuis que je le prends alors je suis un peu perdue
3438,epitomax,je suis epileptique crises generalise je prend epitomax 75 mg matin et 50 mg le soir plus diacomit et urbanil cela me me donne beaucoup de douleurs dans les doigts j ai essaye de diminuer epitomax les douleurs etaient moins forte dans mes doigts mes les crises revenait plus souvent donc oblige de re augmenter et malgre c est traitement je fais encore 2 a 3 crises tout les 6 mois ce qui est beaucoup moins qu avant actuellement j ai mis un implant contraceptif et j ai fait 4 crises en 2 semaines est du a l implant est ce qu il y a des personnes comme moi qui ont mis un implant j aimerais avoir des avis a propos de cette implant kelly 27 ans
3439,epitomax,traitement debute en octobre 2022 peu de temps apres mon medecin apprend qu il ne pourra plus me le prescrire il m envoie donc voir le neurologue augmentation par palier 25 puis 50 puis 75 puis 100 a partir de 100 de gros malaises jusqu a des pertes de connaissance obligee de repasser a 75 ou je suis restee jusqu en avril je ne parle pas des fourmis dans les pieds a m en reveiller la nuit les genoux et les mains la perte de poids 4kgs malgre une alimentation qui est restee la meme la fatigue la surveillance accrue de taux de ferritine car risque de carence en fer que je fais deja de base et evidemment tout ca pour un traitement qui n a plus ete efficace apres 1 mois le neurologue me l a donc arrete des hier enfin en sevrage sur 2 semaines
3440,epitomax,j ai commence par 50 mg d epitomax puis rapidement suis passee a 100mg j avoue que les premiers mois de traitement je ne l ai pas supporte j ai perdu totalement l appetit c etait horrible j etais devenue l ombre de moi meme et tres fatiguee le seul point tres positif est que mes migraines avaient nettement diminuees j ai quand meme vu avec le neurologue si on pouvait diminuer et il a souhaite arreter vu les effets secondaires trop importants mais les mois qui ont suivis ont ete terribles en matiere de rebondissement trop de migraines ont repris et j etais vraiment mal en accord avec mon neurologue je l ai donc repris et me suis forcee a manger petit a petit je me suis habituee et je le prends toujours aujourd hui ce n est pas miraculeux mais il me permet d en avoir beaucoup moins que si j avais pas de traitement je complete en cas de crise avec du zomig muriel
3441,epitomax,je suis en pleine depression car j ai perdu ma maman y a 4 mois le psychiatre continue a me prescrire le meme tratement a savoir 1 epitomax 2 effexor 2 seresta mais j ai l impression que le traitement n est plus adapte
3442,epitomax,il faut evidemment respecter les prises et dosages et meme s il n est pas miraculeux le prenant a la fois pour mes migraines ophtalmiques et pour mon epilepsie un de mes traitements je trouve que ma qualite de vie est bien meilleure mes symptomes ont disparu a 85 en tenant compte des 2 pathologies ce qui est bien mieux que ce que j aurais pu esperer
3443,epitomax,j en prends depuis deux semaines le soir 25mg pour des absences j ai eu des ictus egalement je suis bien un jour sur deux mais rien de concret juste fourmillements pieds et yeux secs meme pas perte de poids au contraire disons qu avec une petite dose je n ai peut etre pas d effet secondaire
3444,epitomax,teste a deux reprises en traitement de fond contre les maux de tete migraines suite a une rupture d anevrisme cerebral la 1ere fois dosage a 25mg j en une seule prise pendant 2 semaines puis a 50mg j pendant 2 autres semaines pour ma part aucun resultat juste des effets secondaires fourmillements dans les pieds et les mains contractures musculaires surtout dans les bras a ne pas pouvoir dormir nervosite tremblement paupiere 2e essai 17 5mg matin et soir pendant 3 mois meme effets secondaires sans resultat
3445,epitomax,bonjour je prends epitomax 25 mg matin et 50 mg soir depuis mars 2020 en plus de mon keppra 500 matin et soir je le prends pour l epilepsie et mes cephalees chronique je n ai pas de soucis ni pertes de cheveux ni poids par contre etend a la base sensible a la lumiere depuis epitomax je le suis encore beaucoup plus seul bemol pour le moment a voir en juin augmentation des doses epitomax
3446,epitomax,je suis suivi par deux neurologues ils ne souhaitent pas que j arrete ce ttt pour raison des benefices risques je suis tellement mal avec je lui ai dit clairement que je trouvais qu il y avait pourtant plus de risques que de benefices ils veulent que je continue a le prendre pour ma part j ai bcp de vertiges avec une vision floue chute de mes cheveux sa c est difficile a vivre et j ai meme l impression qu il augmente voir multiplie mes crises epi a chaque reveils nervosite j arrive pas a rester en place avec et grosse perte d appetit avec des maux de cranes omnipresent un des spe me dit que ca ne viendrait pas du medoc tous ces effets cumules mais j ai fais qq essais d arret sans le lui dire et j ai retrouve tous mes sens et une meilleure vitalite et lorsque je le prend je me sens mal avec une pression dans la tete je ne sais que faire il me le renouvelle toujours et dit de continuer a le prendre epitomax gel 25mg matin et soir actuellement epitomax cp 50mg matin midi et soir actuellement
3447,epitomax,pour ma part je prends epitomax 25 mg en raison de petites crises d epilepsie nocturne j ai une grosse perte de poids je m en plains qu a moitie puisque j ai des kilos a perdre mais j arrive de moins en moins a me concentrer et ca par contre c est tres genant dans le travail je suis en perte d autonomie et je n aime pas ca du tout j ai une tumeur cerebrale qui me fait deja perdre la tete le tegretol l epitomax legume je n arrive pas a me concentrer j oublie les casseroles sur le feu heureusement que mes ados et mon mari veillent sur moi ma neurologue ne s attarde pas sur les effets secondaires le traitement fonctionne c est tout mon probleme pfff passe a la trappe
3448,epitomax,document n ayant donne rien de bon
3449,epitomax,bonjour vous avez vu qu il ya rupture 25 mg
3450,epitomax,le seul effet indesirable important pour moi est la chute des cheveux
3451,epitomax,diminu mes crises mais je suis completement fatiguee lapres midi et incapable de prendre une decision car j ai l impression que mon cerveau est ramolli
3452,epitomax,a prendre avec precaution
3453,epitomax,attenue les migraines
3454,epitomax,a prendre des le debut de la crise si possible car si on attends trop soit ca marche pas soit elle revient et etre sure que c est bien une migraine car meme si on est migraineux on peut avoir des maux de tete simple et la les effets secondaire du relp
3455,epitomax,avec ce traitement je ne vomis plus a chaque crise de migraine
3456,epitomax,les effets indesirables passent au bout de quelques semaines mais il reste un certain ralentissement general je ne suis plus aussi vive qu avant par contre je suis toujours d humeur egale ni tres joyeuse ni tres triste en aucune circonstance ca me conv
3457,epitomax,epitomax a change ma vie mais j aimerai trouve un anti psychotique qui ne me fasse pas grossir et abilify me provoque des fringales des pulsions
3458,epitomax,l epitomax m a permis de stabilser mon poids avec la prise de l abilify qui me provoquait des fringales
3459,epitomax,epitomax m a permis de stabiliser mon poids alors que le depakote m avait detruite un grand merci
3460,epitomax,ce medicament m a tres bien soulagee des douleurs tres fortes qui m invalident cependant mon cerveau c est eteint et une deprime est apparue je souhaiterai continuer ce traitement si je n avais pas a travailler
3461,epitomax,un gros flacon pour peu de gelules il vaut mieux faire un pilulier pour emporter le generique est inefficace
3462,epitomax,ras
3463,epitomax,ce medicament existe sous deux formes comprimes et gelules perso je prefere les gelules car cela me permet de garder un flacon vide pour emmener mes medicaments si je suis absente une soiree ou un we
3464,eplerenone,apres quelque temps il faut redoser les ions car mon mari fait de la retention d eau et peut etre qu il faut adapter la prise du medicament a surveiller les effets indesirables de l aldactone ont disparus
3465,eptavit,ne pas cesser le traitement sans consulter
3466,esberiven,bonjour j en prends 2 par jours 1 matin et 1 soir sauf que cette annee j ai eu un probleme important de gonflement des pieds et j ai du acheter un appareil de massage lymphatique pour m aidera savoir que ces comprimes ne sont pas rembourses qui en prends et qu en pensez vous
3467,escitalopram,bonjour je prends escitalopram 10mg depuis 20 jours avec du xanax 25 deux fois par jour je n ai aucune amelioration de mes crises d angoisses je n ai que les effets indesirables malaise nausees maux de tete extreme fatigue j ai depuis deux jours des malaises avec hypotension je ne tiens plus debout je n en peux plus pourriez vous m apporter vos temoignages pour que je reprenne l espoir que bientot j aurais des effets benefiques et plus ces effets indesirables qui me fait sombrer merci pour vos reponses
3468,escitalopram,bonjour je voudrais un conseil par rapport au citalopram je le prends depuis 8 jours 10 mg et je constate des maux de tetes et mal aux yeux en plus j ai des varices qui me font tres mal derriere la cuisse mon souci est que j ai lu que ca pouvait augmenter la pression des yeux et les personnes qui font facilement des bleus devraient eviter cet antidepresseur j ai bien envie d arreter ce medicament pensez vous que mes effets secondaires vont s attenuer si je poursuis le traitement merci de vos conseils
3469,escitalopram,bonjour moi ca fait deux ans que je le prends et bien je peux vous dire que le debut est horrible mais maintenant je suis bien
3470,escitalopram,bonjour j ai une petite question svp est ce que je peux prendre esoprex 10mg avant de partir travailler ou faire mes taches quotidiennes ya pas des effets indesirables svp comme une fatigue intense ou envie horrible de dormir merci a tous
3471,escitalopram,je prend ce traitement depuis 10 mois 10mg puis 15 puis 20 puis 15 et je n ai pas vraiment d effets secondaire genants et l impression qu il agit quand meme bien sur l anxiete au moins
3472,escitalopram,apres 6 mois de prise les effets nauseeux se sont estompes au bout de 5 mois mais depuis 2 mois bouche seche le moral est revenu je sors et me remets tout doucement a mes activites d avant angoisse du soir recurrente et parfois angoisse dans la journee je prend alors mon courage a deux mains pas toujours facile il faut donc laisser du temps au temps plus facile a dire qu a faire
3473,escitalopram,bonjour pour avoir lu les avis sur l escitalopram avant de me resoudre a en prendre j ai eu envie de partager mon experience a mon tour apres plusieurs annees de depression majeure a essayer de trouver des solutions pour survivre naturellement j ai saute le pas avant ca j ai suivi des therapies essaye le griffonia melatonine safran dopamine j etais tres reticente a l idee de me medicamenter car j avais tres peur des effets secondaires prise de poids en l occurence et puis en septembre 2023 je n en pouvais plus d avoir des idees suicidaires tous les jours pleurer ne pas reussir a profiter de ma famille mari et 3 enfants alors j ai accepte la suggestions du medecin essayer 10mg d escitalopram sur un mois les deux premieres semaines ont ete difficiles j avais l impression qu on avait deconnecte mon cerveau et que je survolais ma vie mon medecin et pharmacien etaient tres presents au besoin puis tranquillement j ai arrete de pleurer j ai retrouve le plaisir des moments en famille d aller travailler sur les 6 derniers mois mon poids a augmente de 3 kilos comme il le fait a chaque hiver j ai augmente a 15mg et suis restee a ce dosagr je ne ressens plus d anxiete mais pour autant je ne suis pas coupee de mes emotions mon medecin suggere de garder ce traitement pendant au moins 2 ans je suis tres contente d avoir essayer j avais tres peur et au final il vaut mieux essayer et se fier a son corps bon courage a tous tes dans cette maladie
3474,escitalopram,bonjour a toutes et a tous et meilleurs voeux pour 2024 entre autre la sante qui est je pense que tout le monde sera d accord ici le plus important voila je suis bipolaire de type 1 diagnostiquee en 2012 au debut de l entree au programme du cecos pour une fiv qui a ete un succes mais en galere psychologique depuis mes 20 ans je vais en avoir 50 apres moultes medicamentsau cours de ces annees je suis depuis 2012 donc sous theralithe 400g x2 et lamotrigine 200 x2 en avril dernier suite a un trauma incendie de notre maison avec le deces de 9 de nos amours a 4 pattes ma nouvelle psychiatre nous avons decide de repartir a zero en charente alors que nous etions dans les landes me prescrit de l escitalopram en 10mg puis en 20 au debut j entends par la quelques semaines apres la premiere prise je me sens mieux mais dans mon cas il ne faut pas rever pas dans l eclate non plus pour en arriver a mon probleme fin septembre je commence a ressentir une migraine continue qui se deplace a plusieurs endroits de mon crane je vais voir mon medecin 3 fois il me prescrit successivement du doliprane 1000mg puis un combo doliprane medicament dont j ai oublie le nom avec de l opacie et pour finir du doliprane 500 du doliprane cafeine et 20 gouttes de laroxyl par jour parallelement je vais chez un osteopathe 2 fois je me fais enlever 2 dents de sagesse un peu douloureuses je fais des analyses de sang completes un scanner puis une irm debut janvier rdv avec un neurologue je n ai rien il me dit que c est soit c est l anxiete vous vous doutez bien de ma reaction monsieur 30 ans de depression je ne suis tout de meme pas anxieuse que depuis septembre merci bien soit c est l escitalopram je conclue en vous donnant la liste de mes symptomes mise a part le mal de tete qui ne m a jamais quitte depuis septembre j ai beaucoup de mal a l endormissement tres vite apres mettre endormie je suis reveillee par ce que je crois etre le syndrome des jambes sans repos au debut decharges electriques dans les jambes puis generalisees a tout le corps picotements dans les mains et piqures d aiguilles dans les doigts legers vertiges et nausees prise de poids presque 10kg en 2 mois je ne dors pratiquement plus donc je suis fatiguee et deprimee ma vie de famille s en ressent je n ai pas de rdv avec ma psychiatre avant fin mars alors que faire est ce que l escitalopram apres tant de mois de prise peut comme le dit le neurologue me creer tous ces symptomes merci de m avoir lu car il faut admettre que j ai fait un pave
3475,escitalopram,bonjour suite a un mauvais diagnostic de la part de mon medecin traitant il est passe a cote d un burn out professionnel et familiale je me suis retrouve 1 an et demi apres avec un cerveau en miette et un corps en souffrance etre anxiete angoisse et attaque de panique tous les jours meme les nuits j ai du changer de medecin car il ne me comprenait pas mes symptomes se sont aggraves et j avais un mal etre tres profond et je voulais que la douleur cesse donc la mort etait la seule solution je ne voulais plus vivre ainsi mon nouveau medecin me met sous escilatopram 10mg pendant 1 mois puis 20 mg le mois suivant je me sentais tellement mieux j avais retrouve ma joie de vivre je riais je dormais mauvais reves mais j avais la forme mais dans ma tete il etait clair que je n allais pas prendre se traitement plus de 6 mois entre temps je vois spy hypno je fais des balades au mois je janvier on descend le traitement a 15mg fevrier 10mg mars 10mg avril 5mg et en mai on commence le sevrage de 15 jours 1 comprime 1 jour sur 2 de 5 mg pendant 2 semaines au debut je me sens irritable et une baisse de moral puis la depression revient moins forte et les angoisses aussi pendant mon traitement je sentais que mon cerveau reprenais sa place mais le fait d avoir interrompu mon cerveau est a nouveau sans dessus dessous j ai la vue bizarre et des troubles de la memoire et de concentration parfois je pars je suis la physiquement mais mon esprit est nul part cela fait maintenant 2 mois et demi que j ai arrete le traitement je continu a voir mon hypno et je fais des soins de chiropractie pour stimuler mon nerfs vague je vois un psy specialise en fleurs de bach et j ai fais dernierement un soin energetique il y a quand meme du mieux je ne suis plus triste je n ai plus de chagrin je ne pleure plus et je n ai plus la boule au ventre le matin au reveil cependant quand je me sens fatiguee par manque de sommeil ou de journees trop stressantes je ressens de l anxiete qui me fait pensee que je vais perdre le controle et devenir cinglee mais le plus derangeant est ce cerveau en desordre c est ultra derangeant car je n ai pas l impression d etre tout a fait moi meme d autres personnes ont elles ressenties la meme chose merci et belle journee
3476,escitalopram,pour moi c est parfait
3477,escitalopram,bonjour je prends ce medicament depuis plus d un mois avec 3 serestas 50 je sens des moments de bien etre mais qui ne dure pas dans la journee mes angoisses arrivent sans prevenir il faut dire que ce qui a cause la depression est toujours la je m occupe de ma mere de 94 ans depuis 3 mois entre urgence hospitalisation le fait qu elle est perdue la tete font que j ai du mal a gerer j ai des palpitations j en avais deja eu avec cymbalta et escitalopram est dans le meme style j ai aussi l impression de voir moins bien une vue trouble parfois je vais mieux dans ma tete mais pas mieux dans mon corps je n ose pas conduire trop je vais voir avec mon psy j espere qu il va me changer
3478,escitalopram,bonjour je souhaite avoir votre avis concernant mon cas je ne me retrouve pas du tout dans les avis que je vois j ai parfois des episode de crise de tachycardie qui a priori serait lie au stress anxiete etc quand je dit parfois je parle 1 fois tout les 2 mois voir plus ou bien plus quand ca m arrive en general la semaine qui suis je peux avoir des micro crise de panique qui ne se declenche pas reellement car je fait des exercices de respiration mais cela reste genant car j ai le poul qui s accelere et la sensation de perte de controle mais ca ne dure pas et bien sur la boule a la gorge mon medecin sait que je suis une personne qui stress vite d un point de vu general il sait aussi je j ai passe des moments difficile il y a quelque annees deja et que selon lui des blessures profondes sont encore presente comme je lui ai dit je suis sur la limite a certain moment mais pas au fond du gouffre j ai deja l habitude du seresta a petite dose et au besoin sinon je travail j ai une vie de famille normal pas de symptome qui pourrais devenir un handicape sauf si une crise se declenche au boulot pas de pense suicidaire je ne pleure pas ni ne me lamente sur mon sort je mange normalement je me divertit etc donc je me demande franchement si s etait avise de me donner ce medicament dans mon cas et qui semble avoir des effets secondaire violent a l heure ou je vous ecrit j ai passe une bonne nuit pas de boule dans la gorge pour le moment je suis passe voir un osteopathe je me sens bien calme voila vos avis m interesse et pour le moment je ne touche pas a ce medicament
3479,escitalopram,bonjour j ai pris pendant 1 ans lescitolopram les debuts sont tres durs a la reprise du travail je me suis dit que j allais le diminuer jusqu a l arret l arret s est bien passe avec des petites decharges electriques mais c etait gerable apres 8 mois ou tout se passe bien j ai commence a voir flou et a me demander pourquoi et c est devenu une obsession et de s crises d angoisse et un sentiment d etre au bord de l evanouissement avec des ballonnements gastrique et intestinaux j ai du reprendre ce medicament et les debuts ont ete de nouveau horrible impossible d aller travailler un commencement de mieux etre a commencer au bout de 2 mois mais la ca recommence depuis hier crise d angoisse des ruminations sur ma sante un sentiment d etre ailleurs une envie de m enfuir et de rester chez moi enfin bref je voulais savoir si nous pouvons vivre vraiment mieux avec ce medicament j ai un gros doute aussi sur le fait que j ai ces angoisses toujours au 14eme jour de mon cycle et que mes angoisses les ballonnements soient lier a ca mes j ai jamais de reponse a part que ce soit de l angoisse j ai l impression que les medecins des qu on dit angoisse ne nous ecoutent plus et ne bases leurs diagnostics que sur ca
3480,escitalopram,pas effet sur la depression et anxiete et stress et fatiguee grise d angoisse et panique et tls et fatiguee
3481,escitalopram,saignements menstruels excessifs durant 2mois apres la 3eme semaine de traitement obligatoire d arreter
3482,escitalopram,bonjour j ai pris seulement 5 mg pour 3 mois de juin 2023 jusqu a septembre 2023 je l ai arrete brutalement car il m a mis en urgence excitation boufee chaleur enorme presque perte consience j ai informe mon medecin il m a dit ok pour l arret et depuis je subis les effets d arret presque 1 an tremblements rigidite musculaire demarche legerement instable vertige trouble visuel paresthesie cepahlee de tension decharge electrique dans la tete personne ne va vous parler de l arret mefiez vous ca m a juste tue ma vie pour une prise de 3mois essayez de vous reposer de voir vos proches marcher parlez laissez ce truc vraiment le dernier choix c est un poison
3483,escitalopram,j ai pris une dose de 5 mg pendant 3 mois suite a une prescription d un medecin generaliste pour une consultation de 5 mins je l ai arrete burtalement au bout de 3 mois car il m a mis en urgence et j ai informe mon medecin generaliste a l epoque et il m a dit ok une faibe dose pour une courte duree cava aller et depuis ca fait presque un an je galere des effets de sevrage trouble visuel decharges electrique acouphene parasthesie fourmillement picotements demarche instable je n ai pas de probleme avec la prise de ces medicaments la mais il faut que le patient soit au courant des effets a l arret aussi c est un medicament toxique ne faites pas trop confiance aux medecins qui vous prescrivent des medicament en 2 secondes faites vos recherches essayez de trouvez des solutions naturelles avant ca impacte ma vie sociale et pro pour une prise de 3 mois seulement j ai un an bientot de des effets sevrage je suis en train de souffrir j etais joyeux sportif heureux sociable et j avais une vie pour une periode de depression peut etre moderee ou severe peut etre il fallait me dire va voir ta famille fais des trucs que tu aimes faire arrete de travailler au lieu de me donner un poison
3484,escitalopram,j ai pris escilatopram 18 annees il me convenait tres bien depuis 1 an j ai de gros problemes de sante ca a commence par des problemes de digestion ensuite vertiges et frissons entre temps j avais diminue ma dose de 10 mg a 5 mg puis en juillet ma psy m a fait arrete en 12 jours 2 5 mg puis 4 jours apres 1 25 mg puis 4 jours apres encore la moitie puis stop j ai tenu 5 mois avec de gros vertiges et gros frissons en decembre elle m a fait reprendre 5mg pendant 3 semaines puis 10 mg ca fait 8 jours mes symptomes ne s arrangent pas je les trouve meme pires je ne sais pas si c est le fait que le medicament me fait du tort vu que je l ai pris 18 annees je ne sais plus quoi faire attendre encore afin de voir si le 10 mg refait effet en conclusion je ne sais pas si c est le medicament qui a force de le prendre depuis tant d annees m est devenu toxique ou si le fait d avoir diminuer ma dose de 10 mg a 5 mg ceci bien avant que j ai vu la psy pour l arrete completement me donne des effets de sevrage
3485,escitalopram,tres satisfait pour l instant j espere que cela va continuer cela fait deux ans que je le prend tous les soirs
3486,escitalopram,bonsoir c est la quatrieme depression depuis 2014 j ai toujours pris du seroplex escitalopram toujours les memes effets secondaires bouche seche maux de coeurs bouffes de chaleur palpitations perte d appetit et de poids cela fait presque un mois que je le prends a 20 mg toujours mal le matin des pensees tres angoissantes cela s estompe dans la journee et mieux le soir des reveils 2 fois dans la nuit mais je me rendors facilement je prends de la melatonine pour m endormir et fais de la coherence cardiaque et relaxation je suis sophrologue quand j ai des angoisses dans la journee je prends un quart de lexomil je vais bientot commencer une therapie en complement et je pense que cela va m aider j ai trop longtemps mis un bouchon sur mon passe et une enfance traumatique je trouve que l effet du medicament met plus de temps a ce mettre en place que pour mes premieres depressions je vous souhaite a tous et toutes beaucoup de courage et de patience mais il faut garder espoir et se dire que derriere les nuages il y a toujours le soleil
3487,escitalopram,cela fait 5 ans que je prend ce medicament en 15mg le medicament m a beaucoup aide au debut de mes crises d angoisse par contre ca n empeche pas les crises d angoisse par la suite par contre je l ai deja oublie 2 jours et les symptomes du sevrage sont tellement horribles je pensais que j allais mourir
3488,escitalopram,il est important de noter que ce medicament ne doit etre pris que sous surveillance medicale et ne doit pas etre interrompu sans consultation prealable d un professionnel de la sante les patients doivent egalement etre conscients qu il peut falloir plusieurs semaines pour que les effets du medicament se manifestent pleinement
3489,escitalopram,bonjour j ai pris ce medicament pendant 1 an et je suis passee au sevrage 1 jour sur 2 en 5mg et j ai subitement oublie de le prendre depuis deux semaine depuis j ai beaucoup de douleur au coeur et fourmillement ainsi que des vertiges quelqu un a connu ca merci a vous
3490,escitalopram,moi j apprecie je le prend tous les soirs mais des fois cauchemars et drole de reves mais je dors mieux je me reveille pour aller uriner une a deux fois dans la nuit mais je me rendors pour moi il va bien
3491,escitalopram,prise depuis un peu plus d un mois d abord a 10mg et ensuite 15mg effet secondaire de mal de crane tenu effet tout relatif mais prise recente
3492,escitalopram,pour l instant je me sens bien bien et je dors mieux
3493,escitalopram,je suis en sevrage et c est une horreur
3494,escitalopram,le seul hic douleur nerveuse a l arret qui rend tres difficile a arreter
3495,escitalopram,pour moi c est un gran medicament qui m aide a ne pas tenir depresion et a prendre a premiere heure du matin ca m aide beaucoup
3496,escitalopram,bonjour j ai pris ce medicament durant 10 ans pcq j avais des crises de panique en voiture le probleme est solutionne j ai arrete le medicament il y a 46 jours et j ai de
3497,escitalopram,le medicament en question m aide reellement a me sentir mieux meme si il n ecarte pas toute ideation suicidaire je me sens moins suicidaire et mieux dans ma peau cela dit j ai l impression d avoir un voile qui modifie un peu la realite je continue ce t
3498,esidrex,bonjour est ce que quelqu un qui prend ce cachet a deja eu un cancer de la peau car c est un des effets secondaires de ce medicament merci
3499,esidrex,il est tres efficace pour l instant sur mon hypertension mais j ai conscience des effets secondaires qui sont nombreux et dangereux pour certains donc je suis vigilante quand meme
3500,esidrex,bonjour j aimerais savoir quel suivi medical vous avez par rapport a ce medicament et si vous avez deja eu un cancer de la peau vu que c est un des effets secondaires de cette salete moi je n ai aucun suivi on ne me surveille meme pas les reins c est moi qui demande des controles prises de sang merci
3501,esidrex,je prends ce medicament pour mon hypertension arterielle sans pathologie cardiaque et je n ai aucun effet secondaire il agit plutot bien
3502,esidrex,bonjour je prends ce medicament depuis 2015 et pour l instant je n ai aucun effet secondaire
3503,esidrex,je voudrais savoir si les effets secondaire dure longtemps baisse de la tension fatigue
3504,esidrex,que pensez vous d esidrex effets secondaires
3505,esidrex,surveillance bi annuelle de la creatinine
3506,esmya,tres efficace peu d effet voir pas d effet secondaire sur les 2 premieres cures les hemorragies et douleurs sont revenues a chaque arret du traitement la 3e cure est plus delicates vertiges
3507,esomeprazole,l ordonnance est de 1 par jour depuis quelques annees j en prends tous les 2 jours pas tous le temps tous depends de ce que je vais manger
3508,esomeprazole,bonjour oi j aimerais des conseils car je prend omeprazole et on ma dit de pas le prendre trop longtemps alors j ai arrete et je prend de l homeopathie mais depuis mes douleurs aux ventre sont revenus et j ai peur de reprendre ce medicament merci j attend des conseils
3509,esomeprazole,moi j aimerais des conseils car je le prends car j ai une metaplasie gastrique alors je dois prendre ce medicament et j ai aussi le con irritable alors j aimerais des conseils sur l alimentation car je ne sais plus quoi manger sans avoir mal au ventre et a l estomac
3510,esomeprazole,bonjour je prends de lomeprazole depuis trois ans j ai des etourdissements des nausees mais surtout des douleurs pelvienne
3511,esomeprazole,pour les douleurs estomacs prendre 2 clous de girofle dans une tasse de the super efficace et en plus c est un produit naturel je suis tombee sur une video sur les bienfaits du clou de girofle pour l instant je ne suis pas decu je penses qu avec le temps mes douleurs pelvienne seront qu un mauvais souvenir
3512,esomeprazole,ce medicament m est indispensable si je ne le prend pas j ai aussitot des remontees acides n y a que des avantages
3513,esomeprazole,bonjour je suis sous traitement esomezaprole depuis 3ans 40 mg dans un premier temps et maintenant 20 mg ceci pour traiter une oesoohagite compliquee avec oesophage de barett moins de 1cm apres quelques mois de traitement urgence pour des palpitations 160 diagnostique fibrillation auriculaire paroxystique avez vous rencontre ce type de probleme en prenant esomezaprole
3514,esomeprazole,esomeprazole n est pas toujours a prendre quotidiennement sauf s il existe un souci au niveau de l estomac ou la je pense il faut vraiment le prendre jusqu a une fibroscopie pour voir si le souci est resolu ou pas ou demander conseils et explications a son medecin car meme s ils leur manquent du temps pour moi un traitement est bien pris s il est explique et si on a compris son utilite
3515,esomeprazole,laissez moi vous partager quelques conseils et astuces sur ce precieux allie j ai appris a prendre mon esomeprazole comme un pro voir notice une petite pilule avant le repas et je me sens comme un chef etoile pret a conquerir le monde de la gastronomie ou au moins ma cuisine n oubliez pas les amis environ 30 minutes avant de manger et vous serez pret a briller ou du moins a ne pas bruler le combo gagnant ah et puis il y a le couple parfait esomeprazole et eau je lui dis toujours ecoute ne te presente pas a ma table sans un bon verre d eau ensemble ils forment une equipe redoutable contre cette sensation de brulure infernale qui aurait cru qu une simple gorgee pouvait rendre une pilule si elegante les amis soyons clairs l esomeprazole est la pour le soutien mais il n est pas votre permis de mal manger c est un peu comme avoir un parachute ca aide mais ca ne veut pas dire que vous devriez sauter sans reflechir donc evitez les exces de piments d ail et de sausages n oubliez pas que l esomeprazole n est pas un magicien si vous ne voyez pas de resultats tout de suite pas de panique parfois il lui faut un petit moment pour faire ses trucs de super heros
3516,esomeprazole,bien le prendre apres le diner si c est pour des reflux gastrique recurrents
3517,esomeprazole,des que j ai des brulures gastriques je prends ce medicament je n ai rien a signaler de negatifs tres efficace
3518,esomeprazole,je prends actuellement ezomeprazole en 40 m depuis des annees 20 mg auparavant mais qui ne me soulageait plus si besoin je prend aussi du moxidar je suis tres souvent atteinte de perte d equilibre du a des etourdissements et je suis sans cesse fatiguee si je ne le prend pas des le lendemain c est horrible a la fibroscopie le gastro enterologue a bien detecte une hernie hiatale apres ce que je viens de lire sur les etourdissements et la fatigue je m interroge et je vais essayer le clou de girofle dans mon the le matin au petit dejeuner a voir
3519,esomeprazole,moi je trouve que se medicament fait des somnolences grosse fatigue j ai du l arreter
3520,esomeprazole,j ai beau en prendre que ce soit du 20mg ou 40 mg ne fonctionne pas du tout
